"","Factor","df","LRT","F","p","label"
"54","stim_type:US_type",1,3.13202723139329,0.296483578526832,0.096,"L_A1_ROI-lh"
"55","stim_type:US_type",1,0.523701392634393,0.0498835070391251,0.375,"L_A4_ROI-lh"
"56","stim_type:US_type",1,1.08170785042239,0.103089501367153,0.248,"L_A5_ROI-lh"
"57","stim_type:US_type",1,3.07707515959191,0.292454530511872,0.117,"L_AAIC_ROI-lh"
"58","stim_type:US_type",1,13.7654445160442,1.30683712843615,0.003,"L_AIP_ROI-lh"
"59","stim_type:US_type",1,17.1031077979169,1.63227970043092,0.001,"L_AVI_ROI-lh"
"60","stim_type:US_type",1,5.42036137684045,0.518941290085502,0.048,"L_DVT_ROI-lh"
"61","stim_type:US_type",1,0.859116128740425,0.0821879948698499,0.292,"L_EC_ROI-lh"
"62","stim_type:US_type",1,3.13665734459573,0.300364015899286,0.115,"L_FEF_ROI-lh"
"63","stim_type:US_type",1,9.92105320272822,0.938058561926356,0.007,"L_FFC_ROI-lh"
"64","stim_type:US_type",1,1.08084369519929,0.102405516286977,0.247,"L_FOP1_ROI-lh"
"65","stim_type:US_type",1,3.30269928517373,0.31507148074212,0.08,"L_FOP2_ROI-lh"
"66","stim_type:US_type",1,4.07546205415565,0.385477923178832,0.092,"L_FOP3_ROI-lh"
"67","stim_type:US_type",1,0.544009413439198,0.051780166038527,0.364,"L_FOP4_ROI-lh"
"68","stim_type:US_type",1,1.23056218818965,0.11673200352715,0.238,"L_FOP5_ROI-lh"
"69","stim_type:US_type",1,1.12906360762281,0.106963145107867,0.231,"L_FST_ROI-lh"
"70","stim_type:US_type",1,3.76575310200496,0.357485339909394,0.08,"L_H_ROI-lh"
"71","stim_type:US_type",1,6.22259396878871,0.600970204138883,0.047,"L_IFJa_ROI-lh"
"72","stim_type:US_type",1,0.0570630626025377,0.00539874484554903,0.732,"L_IFJp_ROI-lh"
"73","stim_type:US_type",1,1.21540415603158,0.114282516286664,0.23,"L_IFSa_ROI-lh"
"74","stim_type:US_type",1,10.872242602316,1.02716883702597,0.009,"L_IFSp_ROI-lh"
"75","stim_type:US_type",1,5.0105235892006,0.474981705231565,0.059,"L_IP0_ROI-lh"
"76","stim_type:US_type",1,15.1193580844156,1.44025033171405,0.003,"L_IP1_ROI-lh"
"77","stim_type:US_type",1,1.89711197288489,0.180530078006033,0.192,"L_IP2_ROI-lh"
"78","stim_type:US_type",1,0.426764728897979,0.040560949122928,0.399,"L_IPS1_ROI-lh"
"79","stim_type:US_type",1,6.77531915445797,0.641399262924675,0.035,"L_Ig_ROI-lh"
"80","stim_type:US_type",1,1.44710405884325,0.138789245813718,0.188,"L_LBelt_ROI-lh"
"81","stim_type:US_type",1,0.530270587692939,0.0506440012176397,0.371,"L_LIPd_ROI-lh"
"82","stim_type:US_type",1,4.20385391141463,0.397444093694125,0.074,"L_LIPv_ROI-lh"
"83","stim_type:US_type",1,2.95909761329312,0.279429192908422,0.134,"L_LO1_ROI-lh"
"84","stim_type:US_type",1,11.7498183450371,1.11588109620498,0.009,"L_LO2_ROI-lh"
"85","stim_type:US_type",1,0.153619885924854,0.0145550279108082,0.575,"L_LO3_ROI-lh"
"86","stim_type:US_type",1,4.2837472386891,0.406758932234124,0.083,"L_MBelt_ROI-lh"
"87","stim_type:US_type",1,0.504131950077863,0.0483463115543057,0.393,"L_MIP_ROI-lh"
"88","stim_type:US_type",1,2.19746009328082,0.208428700768188,0.132,"L_MI_ROI-lh"
"89","stim_type:US_type",1,0.379703648814029,0.0362162985508683,0.416,"L_MST_ROI-lh"
"90","stim_type:US_type",1,3.82768593318178,0.363867249036529,0.09,"L_MT_ROI-lh"
"91","stim_type:US_type",1,22.39958769226,2.12475650083735,0,"L_OFC_ROI-lh"
"92","stim_type:US_type",1,4.67659939632722,0.443848682042429,0.064,"L_OP1_ROI-lh"
"93","stim_type:US_type",1,5.47776267710287,0.519788637383317,0.051,"L_OP2-3_ROI-lh"
"94","stim_type:US_type",1,1.47627601911154,0.139164745426338,0.199,"L_OP4_ROI-lh"
"95","stim_type:US_type",1,4.32183412772429,0.408426236521932,0.089,"L_PBelt_ROI-lh"
"96","stim_type:US_type",1,0.039552032823849,0.00378987143016225,0.806,"L_PCV_ROI-lh"
"97","stim_type:US_type",1,5.68261726375204,0.534609598140354,0.052,"L_PEF_ROI-lh"
"98","stim_type:US_type",1,0.0905624209226517,0.00859664564601983,0.678,"L_PF_ROI-lh"
"99","stim_type:US_type",1,0.113713798120443,0.0107671013137289,0.639,"L_PFcm_ROI-lh"
"100","stim_type:US_type",1,0.731196795983124,0.0693849246944402,0.328,"L_PFm_ROI-lh"
"101","stim_type:US_type",1,0.00905870335191139,0.000861930885904894,0.901,"L_PFop_ROI-lh"
"102","stim_type:US_type",1,1.47115903064696,0.139474702591816,0.206,"L_PFt_ROI-lh"
"103","stim_type:US_type",1,2.83607453172954,0.268329130868954,0.108,"L_PGi_ROI-lh"
"104","stim_type:US_type",1,0.0073113081525662,0.000694886016926317,0.918,"L_PGp_ROI-lh"
"105","stim_type:US_type",1,8.09022963001917,0.770336181350806,0.03,"L_PGs_ROI-lh"
"106","stim_type:US_type",1,0.143395666222204,0.0136552819592961,0.597,"L_PHA1_ROI-lh"
"107","stim_type:US_type",1,0.0153255806362722,0.00144300473540268,0.868,"L_PHA2_ROI-lh"
"108","stim_type:US_type",1,0.00321501661164802,0.000307392337327432,0.944,"L_PHA3_ROI-lh"
"109","stim_type:US_type",1,1.62253805093496,0.154698994421052,0.184,"L_PHT_ROI-lh"
"110","stim_type:US_type",1,21.0986802205261,2.01700254574115,0.001,"L_PH_ROI-lh"
"111","stim_type:US_type",1,7.80740652808527,0.745432888198192,0.019,"L_PIT_ROI-lh"
"112","stim_type:US_type",1,0.129241729107889,0.0122877835715128,0.638,"L_PI_ROI-lh"
"113","stim_type:US_type",1,7.29290899180705,0.690873182225825,0.028,"L_POS1_ROI-lh"
"114","stim_type:US_type",1,5.10166667708108,0.481879336758568,0.059,"L_POS2_ROI-lh"
"115","stim_type:US_type",1,3.48758749295666,0.331383314136728,0.081,"L_PSL_ROI-lh"
"116","stim_type:US_type",1,10.6723322636171,1.00737380924272,0.013,"L_PeEc_ROI-lh"
"117","stim_type:US_type",1,12.7509076047681,1.21467967657117,0.007,"L_Pir_ROI-lh"
"118","stim_type:US_type",1,11.0807586665651,1.06439761739671,0.008,"L_PoI1_ROI-lh"
"119","stim_type:US_type",1,4.36396745669845,0.413363830561075,0.072,"L_PoI2_ROI-lh"
"120","stim_type:US_type",1,0.397924948105356,0.03809346466645,0.403,"L_PreS_ROI-lh"
"121","stim_type:US_type",1,2.68156277532398,0.254881329923866,0.133,"L_ProS_ROI-lh"
"122","stim_type:US_type",1,5.69855925982847,0.542195692068775,0.042,"L_RI_ROI-lh"
"123","stim_type:US_type",1,13.8217577226533,1.31624519682728,0.004,"L_RSC_ROI-lh"
"124","stim_type:US_type",1,5.66025642272871,0.538469220035919,0.053,"L_SCEF_ROI-lh"
"125","stim_type:US_type",1,24.2316322575934,2.32164523284821,0.001,"L_SFL_ROI-lh"
"126","stim_type:US_type",1,4.58497354483188,0.435374200201083,0.075,"L_STGa_ROI-lh"
"127","stim_type:US_type",1,2.01570414298112,0.190629931494426,0.147,"L_STSda_ROI-lh"
"128","stim_type:US_type",1,3.56975447177683,0.338903359006488,0.094,"L_STSdp_ROI-lh"
"129","stim_type:US_type",1,9.97926406612532,0.948134521805448,0.015,"L_STSva_ROI-lh"
